332,AirAsiaSupport,False,Tue Oct 31 22:12:55 +0000 2017,"@115797 Hi Loreen,kindly DM us your booking number and attach guest passport copy, we'll fix it for you, see you there!- Anwar",333,334
335,AirAsiaSupport,False,Tue Oct 31 23:57:53 +0000 2017,"@115797 Hi Loreen,correction done! :) See you on board! Cheers!- Anwar","336,337",333
338,AirAsiaSupport,False,Fri Nov 10 06:43:03 +0000 2017,"@115797 Hi Loreen, you may check the passenger's date of birth via AirAsia member account under manage booking. Thanks-Sha",339,337
340,AirAsiaSupport,False,Sat Nov 11 13:06:21 +0000 2017,@115797 As you may check it under manage my booking online or during web check in. Date of birth will be shown accordingly.- Ed,341,339
342,AirAsiaSupport,False,Fri Nov 17 07:48:10 +0000 2017,@115797 Hi Loreen :) Kindly DM us the booking number that you wish to do change flight for us to assist you further-Thanks-Anwar,,341
343,AirAsiaSupport,False,Tue Oct 31 05:28:49 +0000 2017,@115797 Sorry as we checked booking has already expired due to no payment made. Kindly please proceed with new booking - Ed,"344,334,345,346",347
362,AirAsiaSupport,False,Tue Oct 31 22:07:28 +0000 2017,"@115799 Hi Emma, Could you please follow us so we can DM you again with the email reply sent to you  =) Yana",363,364
365,AirAsiaSupport,False,Wed Nov 01 01:27:03 +0000 2017,"@115799 Hi Emma, We have replied to you via DM. please check again, Thank you- Mariya",,363
366,AirAsiaSupport,False,Tue Oct 31 13:38:15 +0000 2017,@115799 We have replied to you via DM. Check it out =) Yana,364,367
368,AirAsiaSupport,False,Tue Oct 31 22:04:49 +0000 2017,@115800  notified if there should be any changes-Yana,,369
370,AirAsiaSupport,False,Tue Oct 31 22:04:41 +0000 2017,@115800 We are terribly sorry but we could not offer any options since all the flight are operating as per normal.Passengers will be,,369
374,AirAsiaSupport,False,Tue Oct 31 22:01:20 +0000 2017,"@115797 Hi Looreen :) Kindly DM us the booking number and attach guest passport copy, we'll fix it for you, see you there! -Anwar",,344
375,AirAsiaSupport,False,Tue Oct 31 21:59:59 +0000 2017,@115797 H,,344
1615,AirAsiaSupport,False,Tue Oct 31 22:28:07 +0000 2017,"@116049 Hi Firdaus, we has respond you via DM,see you there! - Anwar",,1616
2345,AirAsiaSupport,False,Tue Oct 31 22:35:37 +0000 2017,"@116243 Hi Ijan :) Yes sure, we has respond you via DM, see you there!-Anwar",,2346
